FID,OBJECTID_1,OBJECTID_2,OBJECTID,country,name,company,group_comp,group_coun,legal_term,status,province,area_ha,source,last_updat,SHAPE_Leng,gfwid,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Area
29133,29134,29181,29181,IDN,PT. RANGGAU ABDINUSA, , , ,170/Menhut-II/2009, , ,25677,Indonesia Ministry of Forestry,2014,97579.5544546,a65a9a2d-b4a7-49c9-bd2e-74ea03e26618,0.876548338668,0.876548338323,0.876548338323,0.0207197288971
29134,29135,29182,29182,IDN,PT. BUMIMAS PERMATA ABADI, , , ,656/Menhut-II/2009, , ,47812,Indonesia Ministry of Forestry,2014,111034.118414,d4049c81-526c-4d67-9b42-867425545f12,0.997401127922,0.997401128941,0.997401128941,0.038579003817
29135,29136,29183,29183,IDN,PT.AKATHES PLYWOOD, , , ,68/Menhut-II/2008, , ,94835,Indonesia Ministry of Forestry,2014,231171.346241,f749fa38-a658-4c07-ab7f-9e7a2fa9df15,2.07662599812,2.07662599472,2.07662599472,0.0765278179735
29136,29137,29184,29184,IDN,PT. AUSTRAL BYNA, , , ,557/Menhut-II/2009, , ,261827,Indonesia Ministry of Forestry,2014,625392.308944,199352cc-7652-440d-be08-39e96b1779bb,5.61770215545,5.61770215168,5.61770215168,0.211254726063
29137,29138,29185,29185,IDN,PT.TAMAN RAJA PERSADA, , , ,262/Menhut-II/2008, , ,53587,Indonesia Ministry of Forestry,2014,130741.307389,d39a6c6d-13c3-4f10-9325-ca745c65ee5d,1.17446572735,1.17446572666,1.17446572666,0.0432427421407
29138,29139,29186,29186,IDN,PT. BARITO PUTERA, , , ,27/Kpts-II/2001, , ,14555,Indonesia Ministry of Forestry,2014,68825.2095259,ba5b2b17-8c96-41b1-ac4c-60dab466e2bd,0.618225587105,0.618225586958,0.618225586958,0.0117448985986
29139,29140,29187,29187,IDN,PT.FITAMAYA ASMAPARA, , , ,430/Menhut-II/2006, , ,43884,Indonesia Ministry of Forestry,2014,140569.395153,cb1d6152-1bb9-47c3-8599-8be21721184b,1.26269618592,1.26269618059,1.26269618059,0.0354095664898
29140,29141,29188,29188,IDN,PT. AMPRAH MITRA JAYA, , , ,521/Mebhut-II/2006, , ,80097,Indonesia Ministry of Forestry,2014,164938.416733,10877da4-88ad-46cf-8fc0-9d0c01e9ec46,1.48130819349,1.48130819368,1.48130819368,0.0646064338395
29141,29142,29189,29189,IDN,PT. HASNUR JAYA UTAMA, , , ,28/kpts-II/2001, , ,33093,Indonesia Ministry of Forestry,2014,102912.884313,85ff20dd-e31e-42fe-b0a1-72b0f8a9cd00,0.92426853759,0.924268537345,0.924268537345,0.0266941225219
29142,29143,29190,29190,IDN,PT.HUTANI LESTARI RAYA TIMBER, , , ,15/Kpts-II/2001, , ,97893,Indonesia Ministry of Forestry,2014,171035.767905,a2e4862e-4b94-4cd1-991b-3716e3f7e1bd,1.53621852341,1.53621852138,1.53621852138,0.0789734665344
29143,29144,29191,29191,IDN,PT.SINERGI HUTAN SEJATI, , , ,67/Menhut-II/2006, , ,67396,Indonesia Ministry of Forestry,2014,141550.397654,fb386779-bae5-4587-9baa-74adda2f4f10,1.27138052372,1.27138052309,1.27138052309,0.05437177875
29144,29145,29192,29192,IDN,PT. SARANG SAPTA PUTRA, , , ,398/Menhut-II/2006, , ,51223,Indonesia Ministry of Forestry,2014,202530.7575,21b37077-ef35-4029-9f5d-0998723590bd,1.81935624701,1.81935624216,1.81935624216,0.041334893707
29145,29146,29193,29193,IDN,PT. BARITO PUTERA, , , ,27/Kpts-II/2001, , ,27732,Indonesia Ministry of Forestry,2014,104861.91513,5207ebca-ce56-4c00-bb6c-cda3e5f45ed3,0.941984848254,0.941984847095,0.941984847095,0.0223785604628
29146,29147,29194,29194,IDN,PT. WIDYA ARTHA PERDANA, , , ,439/Menhut-II/2009, , ,8194,Indonesia Ministry of Forestry,2014,45514.5950846,65b79677-0e2e-4bd0-b0dd-4b9f5c936203,0.408708876226,0.408708875076,0.408708875076,0.00660675226469
29147,29148,29195,29195,IDN,PT. INTERTROPIC ADITAMA, , , ,161/Menhut-II/2005, , ,45818,Indonesia Ministry of Forestry,2014,128650.755306,4f36dd1d-1cc8-48a9-b47e-40e0ada2a31e,1.1555770963,1.15557709016,1.15557709016,0.0369652897982
29148,29149,29196,29196,IDN,PT. WIDYA ARTHA PERDANA, , , ,439/Menhut-II/2009, , ,5379,Indonesia Ministry of Forestry,2014,65970.9178189,3e9aca0a-19cf-422e-8f67-98e2519c63d0,0.592527680754,0.592527682273,0.592527682273,0.00433925350178
29149,29150,29197,29197,IDN,PT. ADIMITRA LESTARI, , , ,202/Menhut-II/2008, , ,52749,Indonesia Ministry of Forestry,2014,148413.57675,145e67aa-5ea9-484f-bdd3-f28171615c2e,1.33219978952,1.33219979018,1.33219979018,0.0424473791463
29150,29151,29198,29198,IDN,PT. KIANI LESTARI (Eks PT GPI), , , ,414/Kpts-II/2009, , ,215691,Indonesia Ministry of Forestry,2014,364369.122256,7312de98-63cb-4286-848e-ca4ef5abbae8,3.27293373448,3.27293373607,3.27293373607,0.174034978563
29151,29152,29199,29199,IDN,PT. RIMBA MAKMUR SENTOSA, , , ,178/Menhut-II/2007, , ,39976,Indonesia Ministry of Forestry,2014,128099.674028,cb9f8893-744e-4dad-97f1-cbb1ed3d0777,1.14969964422,1.14969964405,1.14969964405,0.0322105746392
29152,29153,29200,29200,IDN,PT.JAYA TIMBER TRADING, , , ,100/Kpts-II/2001, , ,35906,Indonesia Ministry of Forestry,2014,75996.6689012,a2077716-e36f-45f3-81e3-fe5fca914b2c,0.682674213527,0.682674213948,0.682674213948,0.0289742314833
29153,29154,29201,29201,IDN,PT. LIMBANG GANESA, , , ,35/Kpts-II/1994, , ,107096,Indonesia Ministry of Forestry,2014,258637.944484,1ba0c4e1-6a0e-4001-8026-746fd9a29c65,2.32336155754,2.32336155549,2.32336155549,0.0864225838711
29154,29155,29202,29202,IDN,PT. RIMBA KARYA RAYATAMA, , , ,186/Menhut-II/2006, , ,40637,Indonesia Ministry of Forestry,2014,105903.699637,e653bf21-3348-489a-bdfd-be122d82588a,0.951339846789,0.95133984748,0.95133984748,0.0327919971462
29155,29156,29203,29203,IDN,PT. ITCI/ITCIKU, , , ,149/Kpts-II/1993, , ,262868,Indonesia Ministry of Forestry,2014,561621.891429,792118ac-d5c8-44de-a95b-c1da95a2dabb,5.04488369378,5.04488370448,5.04488370448,0.212109299302
29156,29157,29204,29204,IDN,PT. SUMALINDO LESTARI JAYA II, , , ,400/Menhut-II/2004, , ,259332,Indonesia Ministry of Forestry,2014,367576.253435,cf583079-ba1f-49c5-a540-0c56ea962267,3.30146546502,3.30146546016,3.30146546016,0.209215681711
29157,29158,29205,29205,IDN,PT. RIZKI KACIDA REANA, , , ,60/Menhut-II/2009, , ,17806,Indonesia Ministry of Forestry,2014,68794.8891898,c1acd31c-868c-461f-89e9-352f6dfd9b21,0.617654330428,0.617654330772,0.617654330773,0.0143551689709
29158,29159,29206,29206,IDN,PT. RIZKI KACIDA REANA, , , ,60/Menhut-II/2009, , ,37581,Indonesia Ministry of Forestry,2014,118475.789593,d72fb23f-6e65-4a6c-a087-3bb286b74103,1.06393927044,1.06393927187,1.06393927188,0.0302995535399
29159,29160,29207,29207,IDN,PT. RATAH TIMBER, , , ,359/Menhut-II/2009, , ,6857,Indonesia Ministry of Forestry,2014,41546.8377909,fe85fc9d-aef9-4dc4-974d-d9966e394030,0.37322104692,0.373221048081,0.373221048081,0.00553322188114
29160,29161,29208,29208,IDN,PT. RATAH TIMBER, , , ,359/Menhut-II/2009, , ,86481,Indonesia Ministry of Forestry,2014,196307.392829,5cadd815-2c00-4533-af53-47b5b6e0bdce,1.76345774469,1.7634577434,1.7634577434,0.0697874534149
