FID,OBJECTID_1,OBJECTID_2,OBJECTID,country,name,company,group_comp,group_coun,legal_term,status,province,area_ha,source,last_updat,SHAPE_Leng,gfwid,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Area
29133,29134,29181,29181,IDN,PT. RANGGAU ABDINUSA, , , ,170/Menhut-II/2009, , ,25677,Indonesia Ministry of Forestry,2014,97579.55445,a65a9a2d-b4a7-49c9-bd2e-74ea03e26618,0.876548339,0.876548338,0.876548338,0.020719729
29134,29135,29182,29182,IDN,PT. BUMIMAS PERMATA ABADI, , , ,656/Menhut-II/2009, , ,47812,Indonesia Ministry of Forestry,2014,111034.1184,d4049c81-526c-4d67-9b42-867425545f12,0.997401128,0.997401129,0.997401129,0.038579004
29135,29136,29183,29183,IDN,PT.AKATHES PLYWOOD, , , ,68/Menhut-II/2008, , ,94835,Indonesia Ministry of Forestry,2014,231171.3462,f749fa38-a658-4c07-ab7f-9e7a2fa9df15,2.076625998,2.076625995,2.076625995,0.076527818
29136,29137,29184,29184,IDN,PT. AUSTRAL BYNA, , , ,557/Menhut-II/2009, , ,261827,Indonesia Ministry of Forestry,2014,625392.3089,199352cc-7652-440d-be08-39e96b1779bb,5.617702155,5.617702152,5.617702152,0.211254726
29137,29138,29185,29185,IDN,PT.TAMAN RAJA PERSADA, , , ,262/Menhut-II/2008, , ,53587,Indonesia Ministry of Forestry,2014,130741.3074,d39a6c6d-13c3-4f10-9325-ca745c65ee5d,1.174465727,1.174465727,1.174465727,0.043242742
29138,29139,29186,29186,IDN,PT. BARITO PUTERA, , , ,27/Kpts-II/2001, , ,14555,Indonesia Ministry of Forestry,2014,68825.20953,ba5b2b17-8c96-41b1-ac4c-60dab466e2bd,0.618225587,0.618225587,0.618225587,0.011744899
29139,29140,29187,29187,IDN,PT.FITAMAYA ASMAPARA, , , ,430/Menhut-II/2006, , ,43884,Indonesia Ministry of Forestry,2014,140569.3952,cb1d6152-1bb9-47c3-8599-8be21721184b,1.262696186,1.262696181,1.262696181,0.035409566
29140,29141,29188,29188,IDN,PT. AMPRAH MITRA JAYA, , , ,521/Mebhut-II/2006, , ,80097,Indonesia Ministry of Forestry,2014,164938.4167,10877da4-88ad-46cf-8fc0-9d0c01e9ec46,1.481308193,1.481308194,1.481308194,0.064606434
29141,29142,29189,29189,IDN,PT. HASNUR JAYA UTAMA, , , ,28/kpts-II/2001, , ,33093,Indonesia Ministry of Forestry,2014,102912.8843,85ff20dd-e31e-42fe-b0a1-72b0f8a9cd00,0.924268538,0.924268537,0.924268537,0.026694123
29142,29143,29190,29190,IDN,PT.HUTANI LESTARI RAYA TIMBER, , , ,15/Kpts-II/2001, , ,97893,Indonesia Ministry of Forestry,2014,171035.7679,a2e4862e-4b94-4cd1-991b-3716e3f7e1bd,1.536218523,1.536218521,1.536218521,0.078973467
29143,29144,29191,29191,IDN,PT.SINERGI HUTAN SEJATI, , , ,67/Menhut-II/2006, , ,67396,Indonesia Ministry of Forestry,2014,141550.3977,fb386779-bae5-4587-9baa-74adda2f4f10,1.271380524,1.271380523,1.271380523,0.054371779
29144,29145,29192,29192,IDN,PT. SARANG SAPTA PUTRA, , , ,398/Menhut-II/2006, , ,51223,Indonesia Ministry of Forestry,2014,202530.7575,21b37077-ef35-4029-9f5d-0998723590bd,1.819356247,1.819356242,1.819356242,0.041334894
29145,29146,29193,29193,IDN,PT. BARITO PUTERA, , , ,27/Kpts-II/2001, , ,27732,Indonesia Ministry of Forestry,2014,104861.9151,5207ebca-ce56-4c00-bb6c-cda3e5f45ed3,0.941984848,0.941984847,0.941984847,0.02237856
29146,29147,29194,29194,IDN,PT. WIDYA ARTHA PERDANA, , , ,439/Menhut-II/2009, , ,8194,Indonesia Ministry of Forestry,2014,45514.59508,65b79677-0e2e-4bd0-b0dd-4b9f5c936203,0.408708876,0.408708875,0.408708875,0.006606752
