,PROVINCE,LEGAL_STAT,HGU,AREA_HGU,SOURCES,PELEPASAN,AREA_LEPAS,IJIN_LOKAS,AREA_ILOK,AREA_IUP,HECTARES,PERIMETER,AREA,PO_COM,IUP,commodity,PO_GROUP,DISTRICT,LIC_PROCES
0,Riau,no data,,0,Riau Province 2013 revised by RSPO 2014,,0,,0,0,140.0042167,10240.88853,1399088.836,PT Meganusa Intisawit,,Palm oil,Wijaya family/Sinar Mas/GAR,Indragiri Hulu,
1,Riau,no data,,0,Riau Province 2013 revised by RSPO 2014,,0,,0,0,12.51512168,2079.911111,125065.9975,PT Meganusa Intisawit,,Palm oil,Wijaya family/Sinar Mas/GAR,Indragiri Hulu,
2,Riau,no data,,0,Riau Province 2013 revised by RSPO 2014,,0,,0,0,37.72475197,3757.65514,376990.6403,PT Meganusa Intisawit,,Palm oil,Wijaya family/Sinar Mas/GAR,Indragiri Hulu,
3,Riau,no data,,0,Riau Province 2013 revised by RSPO 2014,,0,,0,0,2364.272233,42612.25981,23626623.28,PT Meganusa Intisawit,,Palm oil,Wijaya family/Sinar Mas/GAR,Indragiri Hulu,
4,Riau,no data,,0,RSPO 2014,,0,,0,0,5107.131318,112468.017,51036537.16,PT Meganusa Intisawit,,Palm oil,Wijaya family/Sinar Mas/GAR,Indragiri Hulu,
5,East Kalimantan,HGU,,0,BPN online map 2018,220/KPTS-II/1995,2503,,0,0,2275.784918,44064.29231,22742352.66,PT Perkebunan Nusantara XIII,,Palm oil,Perkebunan Nusantara,Paser,
6,East Kalimantan,no data,,0,The Nature Conservation 2008,,0,,0,0,2550.252872,29261.35463,25485163.27,PT Perkebunan Nusantara XIII,,Palm oil,Perkebunan Nusantara,Paser,
7,East Kalimantan,no data,,0,The Nature Conservation 2008,,0,,0,0,2149.915919,38252.93943,21484519.76,PT Perkebunan Nusantara XIII,,Palm oil,Perkebunan Nusantara,Paser,
8,East Kalimantan,no data,,0,East Kalimantan Province Plantation Agency 2017,,0,,0,0,19196.67101,93353.32488,191835994.1,PT Perkebunan Nusantara XIII,,Palm oil,Perkebunan Nusantara,Paser,
9,Central Kalimantan,no data,,0,Based on HGU and IL permit information supplied by other NGOs,no data,0,,0,0,639.5891464,11233.81683,6391536.306,PT Sawit Prima Lestari,,Palm oil,,Lamandau,
10,Central Kalimantan,HGU,02/HGU/BPN/1999 date 01/06/1999,15153,BPN online map 2019,,0,,0,0,15148.98723,50526.51755,151386718.3,PT Pilar Wanapersada,,Palm oil,Theodore Rachmat and family/Dharma Satya Nusantara (DSN),Lamandau,
11,West Kalimantan,no data,,0,PO_Plantation_West_Kalimantan_2010.shp,,0,,0,0,4506.136152,44197.59274,45030677.86,PT Prakarsa Tani Sejati,,Palm oil,Bumi Raya Utama,Ketapang,
12,Central Kalimantan,HGU,,0,Central Kalimantan Province Plantation Agency 2016,,0,711.480.42/X/2004,3000,0,2513.882968,28376.12412,25121711.88,PT Kalimantan Sawit Abadi,,Palm oil,Citra Borneo Indah,Kotawaringin Barat,
