,logging
281,amindo wana persada
167,cv bakti dwipa kariza
215,cv pangkar begili
324,cv pari jaya makmur
200,kop mandau talawang
55,kop pondok pesantren darussalam
157,kop ponpes najmussalam
113,kop putra dayak jaya
301,kop wailo wana lestari
285,ksu mayang putri prima
76,ksu meranti tumbuh indah
7,kud beringin mulya
323,mutiara kalja permai
192,pd panca karya
56,pt aceh inti timber
35,pt adimitra lestari
16,pt aditya kirana mandiri
155,pt agoda rimba irian
228,pt agro city kaltim
224,pt akathes plywood
198,pt alas aceh perkasa
48,pt alas tirta kencana
326,pt amprah mitra jaya
277,pt andalas merapi timber
221,pt anugerah pratama inspirasi
134,pt anugrah alam barito
242,pt aoi unit ii//iv
202,pt aquila silva
71,pt arfak indra
189,pt austral byna
142,pt aya yayang indonesia
274,pt bade makmur orissa
105,pt balantak rimba rejeki
51,pt balikpapan forest industri
59,pt bangun kayu irian
66,pt barito nusantara indah
125,pt barito putera
25,pt batasan
307,pt batasan (papua)
243,pt batu karang sakti
14,pt bela berkat anugerah
95,pt bentara agra timber
233,pt benua indah
294,pt berkat cahaya timber
45,pt bhara induk (d/h brajatama)
60,pt bina balantak raya
109,pt bina balantak raya utama
46,pt bina daya tetra
293,pt bina multi alam lestari
88,pt bina ovivipari semesta
227,pt bintuni utama murni
85,pt borneo karya indah mandiri
218,pt budhi nyata
179,pt bumi pratama usaha jaya
308,pt bumi raya utama wood
262,pt bumimas permata abadi
141,pt carus indonesia
129,pt central kalimantan abadi
97,pt centrico
302,pt citra lembah kencana ( tunggal yudi unit iv)
112,pt civika wana lestari (eks  damukti)
246,pt dahatama adi karya
170,pt daisy timber
84,pt damai setiatama tbr
223,pt darmali mahkota tbr
177,pt dasa intiga
47,pt daya sakti krida unggul
154,pt dharma mukti persada
183,pt dharma satya nusantara
251,pt diadyani timber
138,pt diamond raya timber
240,pt digul daya sakti
3,pt digul dayasakti
231,pt dwima jaya utama
52,pt elbana abadi jaya
320,pt erna juliawati
174,pt erythrina nugraha megah
310,pt essam timber
13,pt fitamaya asmapara
120,pt fortuna cipta sejahtera
81,pt gaung satya graha agrindo
86,pt global partners indonesia
26,pt graha sentosa permai
173,pt greaty sukses  abadi
289,pt gruti
176,pt gulat ii
194,pt gunung gajah abadi
22,pt gunung meranti
222,pt hanurata coy
163,pt hanurata coy ltd (sorong)
122,pt harapan kaltim lestari
43,pt harapan kita utama
54,pt harapan tiga putera
188,pt hasil kalimantan jaya
184,pt hasnur jaya utama
253,pt hasrat wira mandiri
238,pt huma sulut lestari
254,pt hutan bersama
193,pt hutan domas raya
107,pt hutan mulya
259,pt hutani kalimantan abadi permai
119,pt hutani lestari raya timber
123,pt hutani sola lestari
24,pt inanta timber
0,pt indah meranti permata timber
305,pt indexim utama corp
4,pt indowana arga timber
5,pt inhutani i (pangean)
270,pt inhutani i (pimping)
130,pt inhutani i (sambarata)
135,pt inhutani i (unit kunyit-simendurut)
58,pt inhutani i (unit labanan)
317,pt inhutani i (unit meraang)
6,pt inhutani i (unit segah hulu)
