oilpalm,logging
a mulyati a tjoneng m,amindo wana persada
aburahmi,cv bakti dwipa kariza
ahmad shahab,cv pangkar begili
ariana ferra ishak udan pt sinar reksa kencana,cv pari jaya makmur
arif patari,kop mandau talawang
asosiasi petani sawit swadaya amanah,kop pondok pesantren darussalam
aswen susisyo utomo,kop ponpes najmussalam
bpp sei putih,kop putra dayak jaya
cv lemo jaya,kop wailo wana lestari
cv lubuk muda raya,ksu mayang putri prima
cv nirmala,ksu meranti tumbuh indah
cv radita,kud beringin mulya
cv riau merbau lestari,mutiara kalja permai
cv surya perkasa,pd panca karya
daniel gozali,pt aceh inti timber
ena udati,pt adimitra lestari
fintje nayoan,pt aditya kirana mandiri
h adli,pt agoda rimba irian
hamid yusuf,pt agro city kaltim
hj merry syam,pt akathes plywood
husen yunus,pt alas aceh perkasa
kebun swadaya,pt alas tirta kencana
kelompok tani andalas,pt amprah mitra jaya
kelompok tani bina karya,pt andalas merapi timber
kelompok tani bina makmur,pt anugerah pratama inspirasi
kelompok tani cempaka,pt anugrah alam barito
kelompok tani jadi mulya,pt aoi unit ii//iv
kelompok tani karya jaya,pt aquila silva
kelompok tani karya tani,pt arfak indra
kelompok tani keluarga harapan,pt austral byna
kelompok tani maju jaya,pt aya yayang indonesia
kelompok tani mungkal tujuh,pt bade makmur orissa
kelompok tani namasuri,pt balantak rimba rejeki
kelompok tani plamboyan,pt balikpapan forest industri
kelompok tani sido mulyo ii,pt bangun kayu irian
kelompok tani sumber makmur,pt barito nusantara indah
kelompok tani sumber makmur ii,pt barito putera
kelompok tani tunas harapan,pt batasan
koperasi aroma,pt batasan (papua)
koperasi atan,pt batu karang sakti
koperasi bahtera mandiri,pt bela berkat anugerah
koperasi bakung agri,pt bentara agra timber
koperasi bengalon prima mandiri,pt benua indah
koperasi berkat mumpa bersatu,pt berkat cahaya timber
koperasi bina awee mareno,pt bhara induk (d/h brajatama)
koperasi bina belantara,pt bina balantak raya
koperasi bina tani lestari,pt bina balantak raya utama
koperasi bina tani sawit lestari,pt bina daya tetra
koperasi bina tani sawit sedulang,pt bina multi alam lestari
koperasi bina usaha,pt bina ovivipari semesta
